title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"SHARDA SINHA |🙏शारदा सिन्हा🙏 | Kelwa Ke Paat Par | Kelva Ke Paat Par🙏🙏","2024-11-06T00:30:28Z","T-Series Bhakti Sagar","Music","""bhojpuri chhath songs|bhojpuri chhath geet|bhojpuri devotional|chath puja songs|chhath songs|chath songs|chhath pooja songs|chath puja geet|bihar|jharkhand|new latest bhajans|new chhath geet|new chath songs|mahua channel|bojpuri songs|patna|kaanch hi baans ke bahangiya|T-Series Bhakti Sagar|devotional songs|chhath pooja 2018|Chath puja|Chhathi Maiya|Sharda sinha Chhath pooja geet|छठ पूजा|new version|bhakti songs|religious|bhakti song|chat song""","PT8M47S","none","347848","8020","592","71800000","0.024757940249764264","36563289826","IN"
"Secret Agent (2024) New Released Hindi Dubbed Action Thriller Movie | Vijay Antony, Megha Akash","2024-11-03T06:30:07Z","RKD Studios","Entertainment","""secret agent movie|secret agent full movie|secret agent action film|Mazhai Pidikkatha Manithan hindi dubbed trailer|vijay antony movies|megha akash movies|action hindi dubbed movie|2024 hindi movies|new|latest|2024 upcoming movies|rkd studios|साउथ मूवी 2024|साउथ मूवी film|vijay antony action scenes|R. Sarathkumar movies|Dhananjaya hindi dubbed movies|action hindi dubbed movies|murali sharma movies|vijay action hindi dubbed movies""","PT2H4S","none","4255889","65709","2103","24400000","0.015933686240407117","6299077034","IN"
"HIGHLIGHTS! City fall to Champions League defeat at Sporting | Sporting CP 4-1 Man City | UCL","2024-11-05T23:00:09Z","Man City","Sports","""man city|manchester city|mcfc|man city highlights|man city goals|city|city vs|man city vs|man city v|video|live|men's team|haaland|pep guardiola|kevin de bruyne|interviews|press conference|pep|city v|guardiola|ucl|champions league|uefa|uefa champions league|etihad|match preview|press|2024/25|sporting|sporting lisbon|sporting v city|sporting v man city|sporting lisbon v city|bernardo silva|silva|sporting cp v city|sporting cp v man city""","PT2M19S","none","3362851","55797","3005","7810000","0.017485758363959627","2146531160","GB"
"ఇన్నాళ్లకు..మా అన్నయ్యకి నా చేత్తో వంట చేసి వడ్డించాను | భగినీ హస్తభోజనం | Haritha Jackie | Strikers","2024-11-05T12:03:43Z","Haritha Jackie","Entertainment","""Haritha Jackie|haritha jackie Channel|haritha jackie YouTube Channel|haritha jackie family|haritha jackie Vlogs|haritha jackie Videos|haritha jackie latest videos|haritha latest video|haritha jackie mother|Haritha Jackie daughter|actress Haritha Jackie|Mother birthday celebrations|భగినీ హస్త భోజనం|Bhagini Hastha Bhojanam|Bhagini Hastha Bhojanam 2024|bhagini hastha bhojanam|bhagini hastha bhojanam in telugu|భగినీహస్తభోజనం వ్రత""","PT39M25S","none","690764","8907","560","358000","0.013705114916237673","137002287","IN"
"WEDDING DAY ❤️ | ANJITHA AMAL | PULLOTHI","2024-11-05T11:46:13Z","PULLOTHI","Entertainment","""wedding vlog|wedding vlog malayalam|pullothi wedding vlog|pullothi|pullothi anji wedding vlog|Wedding day|wedding day malayalam|wedding day vlog|wedding malayalam|Anjitha amal wedding vlog|pullothi wedding day|wedding video malayalam|pullothi wedding video|wedding video""","PT26M56S","none","1298984","68998","4978","1830000","0.05694912331483683","1089795316","Unknown"
"2024 Maruti Suzuki Dzire - All details on latest-gen compact sedan | First Look | Autocar India","2024-11-05T14:56:06Z","Autocar India","Autos & Vehicles","""Autocar|India|Autocar India|Car Reviews|Video Reviews|Test Drives""","PT3M4S","none","471221","8390","1125","2380000","0.020192224030762637","998055258","IN"
"Comedy Ki Bhool Bhulaiyaa - Kartik, Vidya, Tripti | The Great Indian Kapil Show | Bacha Hua Content","2024-11-05T05:30:06Z","Kapil Sharma","Entertainment","""kapil sharma|kapil sharma show|the great indian kapil show|kapil sharma vlog|kapil sharma channel|kapil sharma youtube channel|famous personality|Comedy nights with Kapil|The Kapil Sharma Show|kapil sharma news|kapil|kapil sharma comedy|kapil sharma new show|kapil sharma new show 2024|kapil sharma show full episodes|kapil sharma show 2024|kapil sharma show latest episode|kapil sharma show bhool bhulaiyaa 3|kapil sharma show latest episode bhool bhulaiyaa 3""","PT9M40S","none","1716265","28303","625","9350000","0.016855205926823654","2015122765","IN"
"7 Indian Railways Tech You Didn't Know !","2024-11-04T16:56:39Z","Tech Burner","Science & Technology","""indian railways|indian railway|indian train toy|india|railway|indian railways food|railways in india|indian railways video|indian railways status|indian railways trains|railway station|indian railway station|indian railway food|indian railway train|indian railway video|indian railways experience|indian railway issues|indian railway economy|indian railways diesel trains|indian railway minister|how indian railway works|couple coach in indian railways""","PT15M22S","none","1130915","58425","1863","12100000","0.05330904621479068","2218527168","IN"
"Bigg Boss Tamil Season 8 | 6th November 2024 - Promo 1","2024-11-06T03:30:16Z","Vijay Television","Entertainment","""biggboss|tamil|vijay television|starvijay|VijaySethupathi|தமிழ்|விஜய் டிவி|தொலைக்காட்சி|Tamil TV|Tamil Shows|Redefining Entertainment|Star|Star Vijay TV|Vijay TV|hotstar|Kamal Haasan|Bigg Boss|Bigg Boss Tamil 8|பிக்பாஸ்|பிக்பாஸ் 8|Bigg Boss Season 8|Teaser|VJStheBBhost""","PT35S","none","1178047","20602","1306","25500000","0.018596881109157783","44679708791","IN"
"Karthigai Deepam (கார்த்திகை தீபம்) | திங்கள்-சனி, இரவு 9 மணிக்கு | 04 Nov 24 | Promo | Zee Tamil","2024-11-04T11:13:48Z","Zee Tamil","Entertainment","""Zee Tamil|zeetamil|ஜீ தமிழ்|zee தமிழ்|Tamil channel|tamil tv serial|tamil serial|zee tamil show|entertainment|daily soaps|family|drama|comedy|horror|thriller|romance|romantic|tamil|free|download|mobile|story|episode|latest|scene|full episode|best scene|webisode|precap|preview|promo|complete series|video|youtube|tv|popular shows|zee5|ZEEL""","PT30S","none","1375438","18107","1084","15700000","0.013952646357015002","13570264224","IN"
