title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"Chị Đẹp Đạp Gió 2024 - Tập 1 | Mỹ Linh & Thu Phương TRỞ LẠI, SÂN KHẤU RA MẮT của 30 CHỊ ĐẸP bắt đầu!","2024-10-26T13:30:07Z","YEAH1 SHOW","Entertainment","""Chị Đẹp Đạp Gió 2024|Chị Đẹp Đạp Gió|Chị Đẹp 2024|Chị Đẹp mùa 2|Chi Dep Dap Gio|Chi Dep Dap Gio 2024|ChiDep|ChiDepDapGio|ChiDepDapGio2024|chị đẹp đạp gió 2024|chị đẹp 2024|chị đẹp tập 1|chị đẹp đạp gió rẽ sóng|chị đẹp đạp gió rẽ sóng mùa 2|đạp gió rẽ sóng|chị đẹp mùa 2|mùa 2 chị đẹp|chị đẹp đạp gió tập 1|chị đẹp đạp gió 2024 tập 1|tập 1 chị đẹp đạp gió|tập 1 chị đẹp mùa 2|mỹ linh chị đẹp mùa 2|thu phương trở lại chị đẹp|30 chị đẹp ra mắt""","191.33","none","2994223","119405","7836","454000","0.0424954988322513","246609823","VN"
"Ừ THÌ CHIA TAY - CAPTAIN BOY ft. RHYDER | OFFICIAL MV","2024-10-23T12:00:08Z","Captain Boy Official","Music","""captain|captain boy|rhyder|rhycap|caption|captian|đức duy|underdog|underdogs|hoàng đưucs duy|hoàng đức duy|duc huy|the voice kid|nguyễn quang anh|quang anh|caprhy|say hi|chân thành|anh trai say hi|hùng huỳnh|mv debut|ừ thì chia tay|u thi chia tay|utct|ừ thì|chia tay|ừ|thì|chia|tay|official mv|rap việt|mùa 3|rolling down|quên dần quên|anh mong em sẽ cố quên|anh mong em se co quen|amescq|qdq|cừu|cừu có cánh|cuu co canh|fan captain|kim tử tháp""","4.62","none","3486413","254299","53666","150000","0.08833290835021554","15228339","VN"
"3 mẹ con đổi iphone 16 pro max lấy xe ô tô điện 3 bánh siêu hời !!","2024-10-24T12:14:39Z","Xe Điện Mạnh Phát","People & Blogs","""XE ĐIỆN MẠNH PHÁT|xe đạp điện cũ|xe máy điện cũ|xe đạp điện giá rẻ|XE ĐIỆN|MẠNH PHÁT|XE ĐIỆN THÔNG MINH|XE ĐẠP ĐIỆN|XE ĐIện|review xe điện|review xe đạp điện|REVIEW XE ĐIỆN|REVIEW XE ĐẠP ĐIỆN|mua bán xe điện|mua bán xe điện cũ|bán xe điện|mua xe điện|XE ĐIỆN GIÁ RẺ|mạnh phát|xe điện mạnh phát|@XeDienManhPhat""","1.0","none","2000588","25359","40","148000","0.012695767444371354","47098339","VN"
"小丑揭穿坏人的阴谋 #小丑 #天使 #shorts","2024-10-23T10:30:16Z","好人小丑","People & Blogs","""好人小丑|美国队长|角色扮演|二次元|美漫|迷人坏蛋|超级英雄|搞笑视频|正能量|漫画爱好者|角色解析|幽默剧情|创意演绎|娱乐频道|数字漫画|超级英雄文化|漫画角色|角色魅力|英雄冒险|动画制作|角色深度探讨""","0.58","none","39265908","752218","460","5200000","0.01916874047583466","3205724523","HK"
"Minecraft nhưng nếu bạn Like thì Cây Cúp Của Mình Sẽ Nâng Cấp!","2024-10-25T13:59:09Z","VIỆT BỰA ヅ","Entertainment","""[none]""","0.68","none","1631069","113391","331","595000","0.06972237226015576","104987130","VN"
"Chặt mấy khúc ? | Sinl #shorts","2024-10-25T03:00:59Z","Sinl","Entertainment","""sinl|sinl shorts|sinl tiktok|tik tok sinl|shorts|shorts youtube|short|hài|giải trí|tiktok hài|video mới của sinl|sinl với si|sinl si|tiktok|shorts 2024|tik tok|clip hài|video ngắn|phim ngắn|short video|short film|short video comedy|video hài ngắn|shorts shorts|shorts comedy|comedy shorts|shorts funny|shorts new|new shorts|shorts movie|shorts video funny|video hài hước|funny videos 2024|funny games|funny|funny shorts|chặt mấy khúc""","0.98","none","1766719","37197","176","2850000","0.02115390166744117","1896131278","VN"
"Friends make memories together part 2  | Trà Đặng #short #bestfriend #bff #tiktok","2024-10-17T05:31:13Z","Trà Đặng Official","Entertainment","""trà đặng|tra dang|trà đặng cover|trà đặng tik tok|tra dang tiktok|tra dang tik tok|trà đặng official|tra dang compilation|tra dang tiktok compilation|tik tok trà đặng|trà đặng tiktok|tiktok biến hình trà đặng|trà đặng vê vê|Friends make memories together|tra dang and her sister|tra dang tram do|tra dang baby|tra dang 904 tiktok|memes compilation|beautiful compilation|tik tok dance|trà đặng cực ngầu|cosplayer|trà đặng nhảy|trà đặng ngầu""","0.3","none","81778794","1842809","1711","1560000","0.022554991456587143","500127786","VN"
"cứ ấy ấy ai mà hiểu!!! #femin #fyp #reels #anime #cosplay #cosplayer #cosplaygirl #shorts","2024-10-24T11:47:35Z","meowmeowbaby","People & Blogs","""cosplay|cosplay anime|cosplay makeup|cosplay mukbang|thien an feminin|thien an.femin ăn thanh long|anime cosplay|feminin|thiên ân|tổng hợp video cosplay|cosplay highlights|ăn thanh long|cosplay girl|cosplay girl anime|cosplayer|cosplayer vietnam|anime|anime makeup transformation|meow meow baby|meow meow baby tiktok|meowmeowbaby|cosplay transition|cosplay ears tutorial|cosplay materials|cosplay makeup tutorial|music video cosplay|cosplay art""","0.55","none","1857093","34317","969","169000","0.019000663940901184","53618919","VN"
"Bạn mới lạ lùng | Nhà điên vui nhộn tập 22 | Tôm channel official #Shorts","2024-10-22T04:15:01Z","Tôm channel officical","Gaming","""tôm|tôm official|tôm channel official|tôm tiktok|tôm review|tiktok tôm|tôm vlog|tom hài hước|tôm tiktok hài|tôm channel|tiktok hài hước|tôm hài hước|phim ngắn hài hước|phim hài ngắn|phim hài ngắn hay|phim hài ngắn việt nam|phim ngắn hài|phim ngắn|sitcom hài|vietnam sitcom|phim hai sitcom viet nam|sitcom|hài hước|video hài|video hài hước|phim hài sitcom|sitcom ngắn|nhà điên vui nhộn|nhà điên|nhà vui nhộn|nhà thương điên|nhà vui""","1.0","none","4191642","63937","173","1630000","0.015294722211486573","1217924558","VN"
"A PÁO CÃI LÝ VỚI CÁN BỘ - 4 #shrots","2024-10-16T04:05:16Z","Phim Hài Mới - Bảo Bảo Film","Entertainment","""[none]""","1.0","none","8132717","79199","428","1300000","0.00979094686314549","661843730","VN"
