title,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country,date,time
The BEST BMW Cold Air Intake,Fritz Ramos,Autos & Vehicles,"""BEST Intake for the F30 BMW|f30 intake|f30 cold air intake|best cold air intake for BMW|best cold air intake for bmw n55|best cold air intake for b58|n20 cold air intake|f30 intake sound|f30 intake install|f30 intake scoop|f30 335i intake|f30 cold air intake sound|bmw f30 320i cold air intake|bmw f30 cold air intake sound|bmw 330i f30 cold air intake|bmw f30 335i cold air intake|f30 328i cold air intake|f30 335i cold air intake|bmw f30 afe intake""",1.5,none,1214497,57207,410,53300,0.047441039,18478734,US,10/30/2024,12:45:03
"$1 vs $500,000 Experiences!",MrBeast,Entertainment,"""[none]""",17.67,none,64725058,2906492,37476,327000000,0.045484208,62676141167,US,11/2/2024,16:00:00
I REBUILT MY WRECKED LAMBORGHINI TO PROVE MY INSURANCE WRONG,Mat Armstrong,Autos & Vehicles,"""mat armstrong|matt armstrong|copart rebuild|rebuilding a car|lamborghini crash|rebuilding a wrecked car|crash damaged|twin turbo|mat armstrong mk2|lamborghini gallardo|cheap lamborghini|twin turbo lamborghini""",40.3,none,2762614,145123,6073,3570000,0.054729325,489513321,GB,11/3/2024,18:01:03
🍪 Oreo Coke vs Electric Pepsi ⚡️,Max Klymenko,Education,"""[none]""",1.48,none,395200,28007,280,2080000,0.071576417,2449907940,GB,11/4/2024,2:20:40
"$10,000 If You Can Beat My Rock, Paper, Scissors Robot",Mark Rober,Science & Technology,"""[none]""",19.28,none,8242549,224288,11788,58900000,0.02864114,8254447661,US,11/2/2024,15:00:37
Things will never be the same..,FaZe Rug,Entertainment,"""faze rug|rug|rugfaze|fazerug""",25.12,none,2943485,80263,25265,26700000,0.03585138,9203361163,US,11/3/2024,19:51:44
Girlfriend VS Sister! Who Knows Me Better?!,Bryton Myler,Entertainment,"""[none]""",17.77,none,635850,13571,2238,3510000,0.024862782,971727550,US,11/3/2024,14:00:18
"We Bought The RAREST Motorhome (driving it 2,000 miles home)",Ambition Strikes,Autos & Vehicles,"""Revcon|rev con|motorhome|rare|barn find|f350|powerstroke|diesel|7.3|trailblazer|Revlon trailblazer|rare car|van life|rv|vanlife|will it run|drive home|road trip""",44.52,none,460509,34307,1985,627000,0.078808449,114296887,US,11/3/2024,15:00:17
Making pop rocks from scratch (is complicated),NileBlue,Science & Technology,"""nileblue|nile|blue|red|science|chemistry|pop|rock|rocks|sweet|pop rocks|candy|sugar""",29.7,none,2341083,156688,8471,2470000,0.070548118,259931750,CA,11/2/2024,22:35:02
What Liquid Is Required for Life?,BradyYourTutor,Entertainment,"""[none]""",1.88,none,2558307,181172,1106,1680000,0.071249463,2484587730,US,11/3/2024,2:00:01
I Busted EVERY Fortnite CHAPTER 2 Myth!,McCreamy,Gaming,"""fortnite|fortnite battle royale|fortnite gameplay|challenge|mccreamy|new|update|memes|funny moments|glitches|funny|gaming|epic games|fortnite glitches|fortnite glitch|free vbucks|fortnite vbucks|fortnite moments|new fortnite season|new fortnite|fortnite update|new fortnite update|fortnite new update|mcreamy|fortnite battlepass|fortnite challenge|fortnite mythic|fortnite chapter 2 remix|chapter 2|fortnite chapter 6|chapter 2 remix|fortnite myth""",16.38,none,599675,12572,554,10800000,0.021888523,2626707190,NZ,11/3/2024,17:40:53
We Won Every Game at the State Fair!,Dude Perfect,Sports,"""dude perfect|dude perfect stereotypes|dude perfect water bottle flip|bottle flip|water bottle flip|dude perfect bottle flip|dude perfect basketball|dp|dude perfect world record|edition|nerf|trick shots|trick shot|family|ping pong|bowling|clean|family friendly|bubble wrap|soccer|football|spinner|spinners|fidget spinners|dude|mini games|state fair|carnival|stuffed animals|fair food|big tex|texas|prizes|battles""",14.72,none,2884037,79859,1852,60500000,0.028332161,17859924740,US,11/2/2024,14:00:00
OG CHAPTER 2 MEMES,LazarLazar,Gaming,"""[none]""",12.42,none,2142594,91992,2649,4590000,0.044171224,378513210,AU,11/3/2024,3:22:38
Strapping a Tiny Camera on a Bass! (Underwater Footage),BamaBass,People & Blogs,"""[none]""",31.15,none,263032,14854,815,1050000,0.059570699,194418426,US,11/4/2024,1:01:12
Going BABY SHOPPiNG for the FiRST TiME! *we went a little CRAZY*,JustParkers ,Entertainment,"""kass and josh|justkass|nen|couples channels|notenoughnelsonss|justkass baby|justkass pregnant|sephora haul|sephora vlog|justparkers|just parkers|just kass|nen fam|hopescope|jordan matter|baby shopping|baby products|going baby shopping for the first time|we went a little crazy|first time baby shopping|pregnancy|pregnancy vlog|pregnant vlog|justkass nursery|justkass baby name""",23.6,none,585442,13957,1982,440000,0.027225583,10867181,US,11/3/2024,14:02:00
I Only Ate 'Healthy' Fast Food For 50 Hours,Will Tennyson,People & Blogs,"""fast food|i only ate|50 hours|i only ate healthy fast food for 50 hours|healthy fast food|mcdonalds|taco bell|burger king|wendys|chik fil a|starbucks|taste test|food challenge|diet|bodybuilding|fitness""",26.12,none,768410,29538,1798,3070000,0.040780313,774166274,CA,11/3/2024,15:00:23
