title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
"കേരളത്തിലെ ഏറ്റവും വലിയ വീട്.... അല്ല, കൊട്ടാരം...!",VANITHA,Entertainment,IN,2024-11-25T11:40:11Z,8.78,108573,1154,504,0.015270832
IPL Auction 2025 All Teams Final Squad | IPL 2025 All Sold Players list | All Teams Players List,Sports Canvas,Sports,BD,2024-11-24T16:27:23Z,13.3,471897,4776,321,0.010801086
Piyush Driving Super-Car 😳,Sourav Joshi Vlogs,People & Blogs,IN,2024-11-26T02:30:12Z,8.58,4130640,221434,12744,0.05669291
Pennine ishtayo? | 4k | Short film | full movie | Sajin | Gopika anil | Achu sugandh,Achusugandh,Entertainment,IN,2024-11-22T12:00:07Z,24.32,2279589,114162,6766,0.053048159
Homa Dol - Saad Lamjarred | Neeti Mohan | Elli AvrRam | Rajat Nagpal | Anshul Garg,Play DMF,Music,IN,2024-11-26T05:30:00Z,5.75,1512933,45367,5157,0.033394737
Antarctica 🇦🇶 #1 - ഡ്രേക്ക് പാസേജ് കടന്ന് സാഹസിക യാത്ര അന്റാർട്ടിക്കയിലേക്ക് | Drake Passage,sherinz Vlog,Travel & Events,IN,2024-11-26T06:30:10Z,44.25,140247,6535,727,0.051780074
Squid Game: Season 2 | Official Trailer | Netflix,Netflix,Entertainment,US,2024-11-26T23:00:03Z,1.78,2496617,97760,3662,0.040623772
Australia v India 2024-25 | First Test | Day Three,cricket.com.au,Sports,AU,2024-11-24T11:00:55Z,8.03,11729927,198893,5207,0.017399938
खस्ता-सॉफ्ट स्पेशल बाजरा मूली के परांठे-सर्दियों की सौगात-Healthy & Tasty Bajra Mooli Paratha Recipe,NishaMadhulika,Howto & Style,IN,2024-11-26T05:15:01Z,6.08,120338,3829,470,0.035724376
Oo Meghamala | Final Episode | Telugu Webseries 2024 | Rowdy Baby | South Indian Logic,Rowdy Baby,Entertainment,IN,2024-11-26T13:40:43Z,18.23,190081,11434,250,0.061468532
Dinesh Karthik's thoughts on RCB's squad for IPL 2025 | Mega Auction,Royal Challengers Bengaluru,Sports,IN,2024-11-26T07:02:24Z,2.92,320067,17021,1616,0.058228433
TWINKIT ki Shaadi ❤️ | Congratulations @AnkitAzadvideos @lifewithtwinkle 👫,Saba Ibrahim,People & Blogs,IN,2024-11-25T15:42:44Z,16.53,1182819,52355,2356,0.046254752
"Nain Matakka - Promo | Baby John | Varun Dhawan, Keerthy Suresh | Diljit, Dhee, Thaman S, Irshad",Zee Music Company,Music,IN,2024-11-23T11:39:45Z,0.5,1556354,33015,1034,0.021877413
Sinduur Khella | ସିନ୍ଦୁର ଖେଳ - Full Episode - 245 | Odia Mega Serial on Sidharth TV @8pm,Sidharrth TV,Entertainment,IN,2024-11-26T14:30:26Z,23.08,424669,7274,53,0.017253437
Kayal - Promo | 27 Nov 2024 | Tamil Serial | Sun TV,Sun TV,Entertainment,IN,2024-11-26T16:17:07Z,0.5,404357,5582,55,0.013940651
Anna | Ep - 532 | Preview | Nov 27 2024 | Zee Tamil,Zee Tamil,Entertainment,IN,2024-11-27T03:40:00Z,1.82,379514,5701,35,0.015114067
पूजा के लिए सब लोग हो गये तैयार 🧿 | Sachin Manisha,Manisha ki Duniya,Travel & Events,IN,2024-11-25T11:10:52Z,12.67,546743,15765,0,0.028834388
"""പാടത്തും പറമ്പിലും പോയിരിന്നിട്ടുണ്ടാ?എന്താ സുഖം""😂 ജിഷ ഫ്രം പാലക്കാട് 🔥 | FUNS UPON A TIME",Amrita TV Archives,Entertainment,IN,2024-11-23T15:00:44Z,8.27,536171,5179,445,0.010489191
NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4252 | 26 Nov 2024 | Teaser,Sony SAB,Entertainment,IN,2024-11-26T15:30:11Z,10.25,1385511,24656,489,0.018148539
Malli Serial | Episode 211 Promo | 27th Nov 24 | Nikitha | Vijay | Saregama TV Shows Tamil,Saregama TV Shows Tamil,Entertainment,IN,2024-11-26T15:45:01Z,0.97,436857,6692,107,0.015563445
Roll Rida - ICON STAR (Lyrical Video) | Feat. Pravin Lakkaraju | A Tribute to Pushpa,Roll Rida,Music,IN,2024-11-26T12:33:07Z,2.78,74040,16883,1141,0.243435981
All New Mahindra BE 6e Electric SUV l 18.9 Lakh l 550km in Single Charge ⚡️ @Aayushssm,Aayush ssm,Autos & Vehicles,IN,2024-11-26T16:05:46Z,7.25,54370,923,153,0.019790326
Free Fire MAX x Pushpa 2: The Rule | Hindi Trailer,Free Fire India Official,Gaming,IN,2024-11-25T11:48:09Z,0.67,231208,21920,1574,0.101614131
Guwahati Night Life at 3AM - কি কি চলে ৰাস্তাত গুৱাহাটীৰ,Dimpu's Vlogs,People & Blogs,IN,2024-11-23T07:50:26Z,15.92,633930,42533,1979,0.070215954
"Sonic the Hedgehog 3 | Official Trailer 2 (2024 Movie) Ben Schwartz, Jim Carrey, Keanu Reeves",Paramount Pictures,Film & Animation,US,2024-11-25T14:00:03Z,2.42,6870760,206210,15509,0.032269938
Kadhalikka Neramillai - Yennai Izhukkuthadi Video | Jayam Ravi | Nithya Menen | AR Rahman,T-Series Tamil,Music,IN,2024-11-22T12:30:07Z,4.2,5660520,84133,4657,0.015685838
Permission Na Milegi Dobara | Take A Break,Take A Break,Comedy,IN,2024-11-24T03:30:33Z,25.08,679262,30318,1457,0.04677871
വീട് പണി എന്തായി ❓ house warming എന്നാണ് ❓Ayeshas kitchen kerala vlog,Ayesha's Kitchen,Howto & Style,AE,2024-11-25T09:48:44Z,20.07,140288,1963,258,0.015831718
ALL SUPERCAR DRAG RACE IN REAL LIFE 🤑,LitFleet,People & Blogs,IN,2024-11-26T08:30:31Z,24.68,686920,46026,2074,0.07002271
Game Changer | Behind The Song -  #NaaNaaHyraanaa | Thaman X Shankar |  Ram Charan  | Kiara Advani,Dil Raju,Entertainment,IN,2024-11-25T13:32:07Z,7.57,243692,17167,721,0.073404133
