category,channel_country,channelTitle,subscriber_count,total_view_count
News & Politics,US,Fox News,12300000,18199108495
Gaming,FI,Brawl Stars,20600000,2941932208
Sports,GB,Man City,7810000,2146531160
Education,DE,Kurzgesagt – In a Nutshell,23100000,3004389187
Entertainment,US,Mythical Kitchen,3400000,925431923
Science & Technology,US,xkcd's What If?,746000,37039533
Education,US,Practical Engineering,3990000,407591760
Gaming,US,Apex Legends,2820000,612210822
Education,US,Veritasium,16600000,2891769897
Comedy,US,The Onion,2720000,1208069283
Music,US,Beyoncé,27500000,19530867950
Sports,AU,cricket.com.au,9350000,5114337811
Sports,US,Baseball Doesn't Exist,914000,577565033
Gaming,US,VALORANT,2580000,563411986
Music,US,Kodak Black,9120000,7169790186
Entertainment,IN,JioStudios,863000,540683475
Sports,US,FORMULA 1,11200000,7315622433
Music,US,Nino Paid,38400,7134574
Entertainment,GB,Footasylum,2860000,846964070
Howto & Style,US,Hometalk,1400000,584589516
Autos & Vehicles,US,Fritz Ramos,53300,18478734
Entertainment,US,W Magazine,1000000,544673188
Music,US,FutureVEVO,4370000,8710621634
Sports,US,NFL,13400000,10938454264
Autos & Vehicles,GB,Mat Armstrong,3570000,489513321
Gaming,AU,Lachlan,15100000,5639892997
Entertainment,US,Nidal Wonder,3240000,527567738
Entertainment,GB,SidemenReacts,5710000,3133989106
Music,US,ChappellRoanVEVO,5760,117599329
Education,GB,Max Klymenko,2080000,2449907940
Entertainment,US,General Hospital,125000,79168225
Comedy,US,SocksStudios,1770000,309777839
Science & Technology,US,Mark Rober,58900000,8254447661
Autos & Vehicles,US,Ambition Strikes,627000,114296887
Entertainment,US,Jordan Matter,26000000,9339650713
Entertainment,US,Yes Theory,9210000,1142980345
Entertainment,US,Ryan Trahan,17600000,3921528270
People & Blogs,GB,MoreSidemen,8970000,4810309451
Science & Technology,CA,NileBlue,2470000,259931750
Science & Technology,US,The Deal Guy,2680000,363478704
People & Blogs,CA,Will Tennyson,3070000,774166274
Entertainment,US,JasonTheWeen IRL,53600,1552235
Entertainment,GB,Alec Steele,2550000,511164689
Entertainment,US,Outdoor Boys,10600000,1941097040
Entertainment,US,Brad Mondo,8320000,1900764862
Entertainment,US,Bryton Myler,3510000,971727550
People & Blogs,US,Unspeakable Studios,3090000,649131178
Gaming,NZ,B Man,62900,9314911
Gaming,AU,LazarLazar,4590000,378513210
Film & Animation,US,RDCworld1,7040000,1654478314
Entertainment,US,BradyYourTutor,1680000,2484587730
Sports,US,Dude Perfect,60500000,17859924740
People & Blogs,US,BamaBass,1050000,194418426
Gaming,NZ,McCreamy,10800000,2626707190
People & Blogs,US,Sam Sulek,3780000,226060243
People & Blogs,GB,Zoe Sugg,4960000,1075357064
Entertainment,US,JustParkers ,440000,10867181
People & Blogs,GB,BeardMeatsFood,4520000,1450534685
Entertainment,US,FaZe Rug,26700000,9203361163
People & Blogs,US,Burback,478000,20258819
Pets & Animals,CA,AntsCanada,6190000,750987383
Gaming,GB,Grian,8630000,2531090252
Howto & Style,US,PontiacMadeDDG,3400000,556191582
Gaming,US,Flamingo,13000000,11351946369
Gaming,US,Fortnite,12700000,2868172453
Autos & Vehicles,CA,DailyDrivenExotics,4010000,1590039822
Gaming,US,EpicSkillshot - LoL VOD Library,598000,622604407
People & Blogs,US,Joll and Conk,462000,43567732
Entertainment,GB,Deji,12300000,4209422103
Sports,US,NFL on FOX,74800,125243832
Music,US,Rick Beato,4580000,1043478479
Gaming,GB,z CerealGlitchers,110000,21732759
People & Blogs,KR,BABYMONSTER,7320000,2916580217
Film & Animation,US,Vivziepop,10400000,1485246681
Howto & Style,US,Bushradical,1090000,135554129
Gaming,GB,LDShadowLady,7240000,3489512947
Gaming,CA,GUDPEXI the Gamer,50100,8132172
Pets & Animals,US,TerraGreen,685000,57223803
Sports,AG,Windies Cricket,4000000,1292293956
Sports,US,Nightcap,1540000,450874060
Sports,US,NFL on ESPN,555000,371917633
Entertainment,US,Jonny Devaney,2540000,1217030127
Gaming,US,Milo,1460000,362394473
Sports,US,Autumn Nations Series,85700,46700530
Gaming,US,Let's Game It Out,5790000,1454805202
Entertainment,US,Netflix,29200000,8971613599
Sports,US,CFB ON FOX,236000,136268279
