title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Man Utd win in Ruud's final game! 📈 | Man Utd 3-0 Leicester | Premier League Highlights,Sky Sports Premier League,Sports,GB,2024-11-10T16:08:33Z,2.72,1528001,17261,1424,0.0122283951384848
Szmodics overhead kick inspires Ipswich to first PL win | Tottenham 1-2 Ipswich | EPL Highlights,Sky Sports Premier League,Sports,GB,2024-11-10T16:15:36Z,2.78,1128349,10297,1097,0.0100979395559352
"Tyla - ""Water"" / ""PUSH 2 START"" | 2024 EMAs",MTV,Entertainment,US,2024-11-11T00:28:30Z,3.85,523230,29481,1332,0.0588899719052806
"Marvel Studios’ Thunderbolts* | D23 Brazil Special Look | In Theaters May 2, 2025",Marvel Entertainment,Entertainment,US,2024-11-09T21:05:18Z,3.68,7709508,156795,8231,0.0214055164090886
The worst time of my life...,jacksepticeye,Education,IE,2024-11-10T17:00:08Z,17.57,1984937,193179,12445,0.1035922046896198
"Sketch's $20,000,000 House Tour!",The Sketch Real,Gaming,US,2024-11-11T13:55:05Z,18.38,412491,10753,622,0.0275763592417773
Stray Kids 『GIANT』 Music Video Teaser 2,Stray Kids Japan Official YouTube,Music,Unknown,2024-11-11T12:00:25Z,0.4,480834,119138,3026,0.2540668921082952
ENHYPEN (엔하이픈) 'No Doubt' Official MV,HYBE LABELS,Music,KR,2024-11-11T08:56:07Z,3.08,17854287,568319,46962,0.0344612473183611
SNEAKiNG SALiSH OUT of her HOUSE!! 😲 Ft/ Jordan Matter,NEN FAM,Film & Animation,US,2024-11-09T15:27:06Z,30.97,3111997,51988,4757,0.0182342720767404
This Season on Yellowstone | Paramount Network,Yellowstone,Entertainment,US,2024-11-11T02:59:54Z,1.02,236151,2057,429,0.0105271627052182
"LE SSERAFIM - ""Chasing Lightning"" / ""Crazy"" | 2024 EMAs",MTV,Entertainment,US,2024-11-10T22:08:02Z,4.4,654377,54555,4090,0.0896195923756489
Jinx Gameplay Sneak Peek | 2XKO,2XKO,Gaming,Unknown,2024-11-11T16:00:07Z,1.0,526698,20042,889,0.0397400407823838
Daydream,ENHYPEN - Topic,Music,Unknown,2024-11-11T09:00:03Z,2.02,490636,82307,3802,0.1755048549229979
Last to Leave Fruit Snack Factory!,Unspeakable Studios,People & Blogs,US,2024-11-10T16:00:17Z,13.52,784922,12634,1225,0.017656531477013
Princess Kate’s Stunning Arrival at the Royal Albert Hall ‘Festival of Remembrance’ 2024,The King’s Guards Channel (fan account),Travel & Events,GB,2024-11-09T19:37:37Z,2.07,1252403,3726,418,0.0033088390877377
Phil Salt Hits 103* off 54 Balls | Highlights | West Indies v England | 1st T20I,Windies Cricket,Sports,AG,2024-11-10T00:53:54Z,14.0,1295332,18520,434,0.0146325420818755
I built the World's BIGGEST Dog House!,The Ninja Fam!,Travel & Events,US,2024-11-09T13:00:14Z,17.05,2275261,26236,3562,0.0130965194762271
Road to UNREAL ft. LazarBeam,Lachlan,Gaming,AU,2024-11-09T14:01:51Z,33.45,1233457,35591,603,0.0293435442013787
Pokemon Go Speedruns are Insane,PointCrow,Gaming,US,2024-11-10T20:20:58Z,23.22,293507,17360,640,0.0613273277979741
Stellar Blade - NieR:Automata DLC Trailer | PS5 Games,PlayStation,Gaming,US,2024-11-11T15:00:24Z,0.72,500633,28949,2172,0.062163301260604
O’Riley scores WINNER on his PL debut! 🤯 | Brighton 2-1 Man City | Premier League Highlights,Sky Sports Premier League,Sports,GB,2024-11-09T19:41:59Z,3.0,1453329,16030,2345,0.0126433863220234
Film Theory: Help Me Solve the Impossible! (Gravity Falls),The Film Theorists,Film & Animation,US,2024-11-10T18:05:00Z,14.38,719626,42016,2372,0.0616820403932042
My Daughter Survives SEVEN SISTERS,Jordan Matter,Entertainment,US,2024-11-09T15:00:07Z,27.1,6813725,97034,12529,0.0160797507971043
OFFICIALLY Dried In!! | Building Our Own Home In 90 Days,Ambition Strikes,Autos & Vehicles,US,2024-11-10T15:00:20Z,52.28,401657,27297,986,0.0704158025379863
Detroit Lions vs. Houston Texans Game Highlights | NFL 2024 Season Week 10,NFL,Sports,Unknown,2024-11-11T04:53:32Z,15.22,1955952,28726,3474,0.0164625716786506
I Built My Dog the Safest Base in Minecraft,Bionic,Gaming,US,2024-11-10T00:00:07Z,27.45,775604,18157,1141,0.0248812538357202
We Had to Leave our Boat...Here’s Why,Gone with the Wynns,Travel & Events,US,2024-11-10T14:00:15Z,19.7,303175,24362,3053,0.0904263214315164
Why American Cars Are So Expensive,CNBC,News & Politics,Unknown,2024-11-10T17:00:30Z,13.88,1142985,13654,5769,0.016993223883078
Game Theory: Wooly SOLVES Amanda The Adventurer 2?!,The Game Theorists,Gaming,US,2024-11-09T18:05:00Z,23.53,1283619,68207,3476,0.0558444522868545
"FULL SEGMENT: Sami Zayn and Roman Reigns reunite: SmackDown, Nov. 8, 2024",WWE,Sports,Unknown,2024-11-09T04:05:16Z,11.35,2253258,66606,4111,0.0313843332632126
DABABY: Sundae Conversation with Caleb Pressley,Sundae Conversation,Entertainment,US,2024-11-10T14:15:02Z,4.62,432537,16726,622,0.0401075514927046
Game Changer Teaser - Ram Charan | Kiara Advani | Shankar | Dil Raju - Shirish,Dil Raju,Entertainment,IN,2024-11-09T12:34:57Z,1.52,46713303,552388,22390,0.0123043750513638
"I Bought the SAME DRESS for $15, $50, $500, $5000",HopeScope,Howto & Style,US,2024-11-09T14:30:19Z,21.6,2193457,80613,3560,0.0383745840470089
Fall 2024 Anime in a Nutshell,Gigguk,Film & Animation,GB,2024-11-09T21:00:27Z,23.2,1014302,64115,2688,0.0658610551886913
British College Students try Philly Cheesesteak for the first time!,JOLLY,Entertainment,GB,2024-11-11T15:52:33Z,10.3,591938,28106,1740,0.050420821099507
I Cooked Against Robots,Nick DiGiovanni,People & Blogs,US,2024-11-09T17:00:06Z,16.95,5343643,128424,7959,0.0255224759588168
I Built A Secret Man-Cave In My House,Hangtime,Entertainment,US,2024-11-09T15:32:22Z,25.08,643207,23128,1969,0.0390185430195877
HIGHLIGHTS | ENGLAND V AUSTRALIA | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-09T18:05:11Z,5.22,877489,9820,1838,0.0132856366290631
Raising Tadpoles to Frogs (50 Day Evolution),TerraGreen,Pets & Animals,US,2024-11-09T13:00:43Z,14.05,935724,17253,1243,0.019766512347658
learning to fight on the Lifesteal SMP,rekrap2,Gaming,US,2024-11-09T14:30:30Z,24.02,731072,38562,2101,0.0556210605795325
Denver Broncos vs. Kansas City Chiefs | 2024 Week 10 Game Highlights,NFL,Sports,Unknown,2024-11-10T21:44:00Z,12.65,1551020,19426,2914,0.0144034248430065
GARNACHO WONDER GOAL! UGARTE SUPERB! MANCHESTER UNITED 3-0 LEICESTER GOLDBRIDGE MATCH REACTION,The United Stand,Sports,GB,2024-11-10T16:27:40Z,25.15,266071,7485,430,0.029747698922468
The Biggest Week 10 Takeaways! The Chicago Bears & New York Jets Are A DISASTER,Football Analysis,Sports,US,2024-11-11T04:36:12Z,15.15,186578,5091,793,0.0315364083654021
Pittsburgh Steelers vs. Washington Commanders | 2024 Week 10 Game Highlights,NFL,Sports,Unknown,2024-11-10T21:56:12Z,12.75,1262018,17660,2293,0.0158103925617542
SECRET LEGO PIECES you've NEVER SEEN...,TD BRICKS,Entertainment,US,2024-11-08T17:47:56Z,7.32,2578988,29027,2004,0.0120322390022753
Stephen A. SUSPECTS Micah Parsons' comments about Mike McCarthy is something bigger 👀 | First Take,ESPN,Sports,US,2024-11-11T16:15:36Z,13.2,619799,7246,2163,0.0151807279456727
FREE Forgotten Honda CRX Parked 16 Years! Will It RUN AND DRIVE 700 Miles? (Special Guest Tavarish),Vice Grip Garage,Autos & Vehicles,US,2024-11-08T23:30:10Z,182.27,2006476,70418,9937,0.0400478251421895
No. 20 Colorado Buffaloes vs. Texas Tech Red Raiders Highlights | FOX College Football,CFB ON FOX,Sports,US,2024-11-10T01:01:56Z,15.07,1319775,14920,1544,0.0124748536682389
The Horrors Of Deviantart w/Meatcanyon,beerpup,Pets & Animals,Unknown,2024-11-09T17:00:24Z,24.63,519715,39576,1621,0.0792684452055453
Six Hundred Strike [EPIC: The Musical] Full Animatic,Duvetbox,People & Blogs,Unknown,2024-11-09T23:57:12Z,3.53,326980,0,2303,0.0070432442351214
