title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
ENHYPEN (엔하이픈) 'No Doubt' Official MV,HYBE LABELS,Music,KR,2024-11-11T08:56:07Z,3.08,17854287,568286,46961,0.0344593430138095
HIGHLIGHTS | ENGLAND V AUSTRALIA | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-09T18:05:11Z,5.22,877489,9819,1838,0.0132844970136377
"Marvel Studios’ Thunderbolts* | D23 Brazil Special Look | In Theaters May 2, 2025",Marvel Entertainment,Entertainment,US,2024-11-09T21:05:18Z,3.68,7709070,156794,8231,0.0214066028716823
I Found Rarest Secret Mobs In Minecraft,PrestonPlayz,Gaming,US,2024-11-12T13:00:37Z,22.48,420659,9568,766,0.0245662163415022
YELLOWSTONE Season 5 Episode 9 Ending Explained,BrainPilot,Entertainment,GB,2024-11-11T10:17:29Z,8.12,148901,943,513,0.0097783090778436
No. 20 Colorado Buffaloes vs. Texas Tech Red Raiders Highlights | FOX College Football,CFB ON FOX,Sports,US,2024-11-10T01:01:56Z,15.07,1319775,14920,1544,0.0124748536682389
SNEAKiNG SALiSH OUT of her HOUSE!! 😲 Ft/ Jordan Matter,NEN FAM,Film & Animation,US,2024-11-09T15:27:06Z,30.97,3111997,51988,4757,0.0182342720767404
Daydream,ENHYPEN - Topic,Music,Unknown,2024-11-11T09:00:03Z,2.02,490377,82306,3802,0.175595511208723
The worst time of my life...,jacksepticeye,Education,IE,2024-11-10T17:00:08Z,17.57,1984937,193171,12445,0.103588174335004
British College Students try Philly Cheesesteak for the first time!,JOLLY,Entertainment,GB,2024-11-11T15:52:33Z,10.3,591938,28102,1740,0.0504140636350428
Last to Leave Fruit Snack Factory!,Unspeakable Studios,People & Blogs,US,2024-11-10T16:00:17Z,13.52,784922,12634,1225,0.017656531477013
First Class on Luxury Disney Cruise,Trek Trendy,Travel & Events,GB,2024-11-10T23:48:23Z,28.98,418981,13220,877,0.03364591711796
Stephen A. SUSPECTS Micah Parsons' comments about Mike McCarthy is something bigger 👀 | First Take,ESPN,Sports,US,2024-11-11T16:15:36Z,13.2,619799,7245,2163,0.0151791145193845
STEELERS MOVE TO 7-2 | Are they true contenders? | The NFL Today,NFL on CBS,Sports,US,2024-11-10T22:37:47Z,9.4,247865,3798,593,0.0177152885643394
"Tyla - ""Water"" / ""PUSH 2 START"" | 2024 EMAs",MTV,Entertainment,US,2024-11-11T00:28:30Z,3.85,523230,29480,1332,0.0588880606998834
I Hired A F1 Driver To Beat My Friends At Go Karting,Max Fosh,Comedy,Unknown,2024-11-10T17:15:01Z,14.4,1256248,55399,1040,0.044926638689176
President-elect Trump appoints Tom Homan as 'border czar',KGW News,News & Politics,US,2024-11-11T15:16:28Z,0.35,240115,3024,2210,0.0217978885117547
